seed,strict_resolved,strict_rounds,strict_unresolved_conflicts,completion_resolved,completion_rounds,measured_switches,completion_switches,completion_domains,cumulative_masked_assignments,gap_decisions,non_yielding_retention_decisions,priority_completion_decisions,repaired_state_priority_decisions
0,False,5,5,True,10,7,3,2,5,5,2,3,0
1,True,10,0,True,10,10,0,0,0,5,5,0,0
2,True,5,0,True,5,5,0,0,0,4,1,0,0
3,False,8,1,True,9,8,1,1,1,6,2,1,0
4,True,7,0,True,7,7,0,0,0,4,3,0,0
5,False,6,3,True,9,8,1,1,1,4,4,1,0
6,True,4,0,True,4,4,0,0,0,4,0,0,0
7,True,9,0,True,9,9,0,0,0,4,5,0,0
8,False,0,10,True,11,6,5,4,8,1,5,5,0
9,False,6,5,True,13,11,2,2,4,3,8,2,0
10,True,10,0,True,10,10,0,0,0,8,2,0,0
11,False,2,7,True,10,8,2,2,4,6,2,2,0
12,True,8,0,True,8,8,0,0,0,5,3,0,0
13,True,10,0,True,10,10,0,0,0,5,5,0,0
14,False,4,7,True,11,8,3,2,4,3,5,3,0
15,False,0,6,True,7,3,4,3,7,3,0,4,0
16,False,3,4,True,8,6,2,2,2,3,3,2,0
17,False,7,2,True,9,8,1,1,2,5,3,1,0
18,True,12,0,True,12,12,0,0,0,5,7,0,0
19,False,2,3,True,5,4,1,1,2,3,1,1,0
20,False,7,3,True,9,8,1,1,1,4,4,1,0
21,False,7,2,True,9,8,1,1,1,6,2,1,0
22,True,8,0,True,8,8,0,0,0,5,3,0,0
23,True,7,0,True,7,7,0,0,0,4,3,0,0
24,False,0,6,True,7,4,3,2,6,1,3,3,0
25,True,10,0,True,10,10,0,0,0,7,3,0,0
26,True,11,0,True,11,11,0,0,0,8,3,0,0
27,False,2,10,True,12,8,4,4,6,3,5,4,0
28,True,11,0,True,11,11,0,0,0,8,3,0,0
29,False,3,4,True,7,6,1,1,1,3,3,1,0
30,False,2,7,True,10,8,2,2,2,5,3,2,0
31,True,11,0,True,11,11,0,0,0,8,3,0,0
32,True,6,0,True,6,6,0,0,0,5,1,0,0
33,False,11,1,True,12,11,1,1,2,5,6,1,0
34,True,9,0,True,9,9,0,0,0,6,3,0,0
35,False,2,7,True,11,8,3,3,4,4,4,3,0
36,False,8,1,True,9,8,1,1,2,4,4,1,0
37,False,7,3,True,10,7,3,3,5,5,2,3,0
38,True,12,0,True,12,12,0,0,0,8,4,0,0
39,False,6,2,True,9,8,1,1,1,5,3,1,0
40,False,2,5,True,8,7,1,1,2,4,3,1,0
41,True,12,0,True,12,12,0,0,0,4,8,0,0
42,False,4,3,True,7,5,2,2,3,1,4,2,0
43,False,5,5,True,10,8,2,2,3,4,4,2,0
44,False,0,7,True,9,6,3,3,4,2,4,3,0
45,False,1,6,True,7,5,2,2,2,4,1,2,0
46,True,10,0,True,10,10,0,0,0,3,7,0,0
47,False,11,2,True,13,12,1,1,2,7,5,1,0
48,False,8,1,True,9,8,1,1,1,2,6,1,0
49,False,11,1,True,12,11,1,1,1,6,5,1,0
50,False,6,7,True,14,10,4,3,7,5,5,4,0
51,True,12,0,True,12,12,0,0,0,5,7,0,0
52,False,2,8,True,10,9,1,1,1,4,5,1,0
53,False,2,7,True,9,6,3,3,4,4,2,3,0
54,False,8,2,True,10,9,1,1,1,6,3,1,0
55,True,6,0,True,6,6,0,0,0,2,4,0,0
56,False,10,1,True,11,10,1,1,1,7,3,1,0
57,False,3,7,True,10,9,1,1,2,5,4,1,0
58,False,4,9,True,13,10,3,3,4,4,6,3,0
59,False,5,3,True,8,7,1,1,1,6,1,1,0
60,True,7,0,True,7,7,0,0,0,2,5,0,0
61,False,8,2,True,10,8,2,2,3,5,3,2,0
62,True,11,0,True,11,11,0,0,0,5,6,0,0
63,False,4,1,True,5,4,1,1,1,3,1,1,0
64,True,8,0,True,8,8,0,0,0,6,2,0,0
65,False,0,5,True,8,6,2,2,2,2,4,2,0
66,True,13,0,True,13,13,0,0,0,9,4,0,0
67,False,6,1,True,7,6,1,1,1,4,2,1,0
68,False,7,3,True,9,7,2,2,3,4,3,2,0
69,False,8,3,True,12,11,1,1,2,7,4,1,0
70,False,6,3,True,8,7,1,1,2,4,3,1,0
71,False,3,6,True,10,7,3,3,4,4,3,3,0
72,False,2,9,True,16,12,4,3,8,4,8,4,0
73,False,5,4,True,10,8,2,1,3,4,4,2,0
74,False,8,2,True,11,10,1,1,2,2,8,1,0
75,True,13,0,True,13,13,0,0,0,6,7,0,0
76,False,11,3,True,14,12,2,1,5,7,5,2,0
77,True,9,0,True,9,9,0,0,0,4,5,0,0
78,False,9,2,True,11,10,1,1,2,3,7,1,0
79,False,9,1,True,10,9,1,1,1,4,5,1,0
80,False,2,4,True,7,5,2,2,2,2,3,2,0
81,True,10,0,True,10,10,0,0,0,4,6,0,0
82,False,7,3,True,10,8,2,2,2,4,4,2,0
83,False,7,2,True,9,8,1,1,1,4,4,1,0
84,False,4,5,True,9,7,2,2,5,3,4,2,0
85,False,12,2,True,14,12,2,1,5,6,6,2,0
86,False,3,7,True,13,12,1,1,1,3,9,1,0
87,False,1,9,True,11,8,3,3,5,1,7,3,0
88,False,8,3,True,10,9,1,1,1,4,5,1,0
89,False,9,2,True,11,9,2,2,4,6,3,2,0
90,False,10,1,True,11,10,1,1,2,6,4,1,0
91,False,7,3,True,13,12,1,1,2,8,4,1,0
92,False,2,7,True,9,5,4,4,5,1,4,4,0
93,True,5,0,True,5,5,0,0,0,2,3,0,0
94,False,4,5,True,10,7,3,2,6,5,2,3,0
95,False,4,6,True,10,7,3,2,6,5,2,3,0
96,False,8,1,True,9,8,1,1,2,6,2,1,0
97,False,3,7,True,13,12,1,1,1,5,7,1,0
98,False,10,2,True,12,11,1,1,2,8,3,1,0
99,False,7,2,True,9,8,1,1,2,4,4,1,0
